# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PC1 interaction (ver1.0).
# Generated: 2025-11-03 07:18:58
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
30 20 -429.12822000 0.00001252 4.64692000 -0.151795 0.00
31 20 -433.44145000 0.01704872 6.99221000 -0.606503 0.00
32 20 -438.84219000 0.00000559 6.67497000 -1.039030 0.00
33 20 -442.28034000 0.00000244 9.12569000 -1.152943 0.00
34 20 -447.27428000 0.00000055 8.39788000 -1.641493 0.00
35 20 -450.50981000 -0.00000337 10.74056000 -1.801031 0.00
36 20 -455.01012000 -0.00000431 10.15471000 -1.951030 0.01
37 20 -457.89230000 0.00835391 12.39366000 -1.994094 0.02
38 20 -462.23740000 -0.00000516 11.54649000 -2.154365 0.04
39 20 -464.36240000 -0.03333950 14.27865000 -2.211234 0.00
40 20 -468.83858000 -0.00000255 12.79937000 -2.308087 0.00
41 20 -468.30921000 -0.02903884 18.00546000 -2.411380 9.32
42 20 -470.13718000 -0.00000808 16.82397000 -2.464037 13.16
43 20 -469.78326000 -0.01782533 19.31344000 -2.556877 20.51
44 20 -470.93030000 -0.00001468 18.68101000 -2.611716 23.45
45 20 -470.49074000 -0.00026155 20.84703000 -2.695132 29.00
46 20 -471.37337000 -0.00001984 20.40719000 -2.747924 31.54
47 20 -470.72664000 0.02492601 22.40039000 -2.824329 35.90
48 20 -471.47772000 -0.00002070 21.69048000 -2.870552 37.88
29 21 -432.99314000 -0.07951204 5.73846000 1.870677 0.00
30 21 -439.65166000 -0.07692746 5.48914000 0.762505 0.00
31 21 -444.73516000 -0.07920404 7.71242000 1.197198 0.00
32 21 -450.62403000 -0.08172944 7.40692000 -0.496889 0.00
33 21 -454.89016000 -0.10140941 9.88227000 -0.795439 0.00
34 21 -460.46837000 -0.08900467 9.29925000 -1.363001 0.00
35 21 -464.38283000 -0.09044818 11.53324000 -1.506287 0.00
36 21 -469.50396000 -0.08104758 10.92142000 -1.713221 0.01
37 21 -473.00189000 -0.07597233 13.18372000 -1.758061 0.02
38 21 -477.85905000 -0.05402742 12.53452000 -1.948652 0.00
39 21 -480.85595000 -0.05880287 15.13055000 -2.024853 0.00
40 21 -485.53267000 -0.02264277 14.06562000 -2.124662 0.00
41 21 -486.17915000 -0.05026606 18.98951000 -2.186707 0.00
42 21 -488.31470000 -0.04588305 17.80435000 -2.233042 0.77
43 21 -488.82931000 0.09303605 20.22058000 -2.353117 13.22
44 21 -490.55577000 0.11211719 19.58904000 -2.422183 17.38
45 21 -490.99856000 0.14698993 21.71107000 -2.540853 27.54
46 21 -492.34503000 0.13565598 21.70323000 -2.589802 29.38
47 21 -492.38620000 0.13665117 23.44501000 -2.681924 35.62
48 21 -493.41389000 0.11881971 22.97758000 -2.721840 36.72
49 21 -493.16304000 0.11568146 24.62013000 -2.799607 41.24
50 21 -493.98936000 -0.08233347 24.03343000 -2.844469 42.89
51 21 -493.45722000 0.10350879 25.83856000 -2.887255 45.13
52 21 -493.91196000 -0.10116063 25.12413000 -2.916786 46.13
28 22 -437.94960000 0.00008499 NaN NaN NaN
29 22 -444.35880000 0.10848900 NaN NaN NaN
30 22 -451.66558000 0.14773555 2.81882000 0.660956 0.00
31 22 -457.24895000 0.10933935 5.55904000 0.513524 0.00
32 22 -463.99043000 0.14819733 5.15874000 -0.511691 0.00
33 22 -468.98562000 0.15576169 7.43208000 -0.862244 0.00
34 22 -475.13407000 0.12784289 6.98391000 -1.116467 0.00
35 22 -479.64338000 -0.11689873 9.02220000 -1.245037 0.00
36 22 -485.40361000 -0.08838845 8.32584000 -1.510655 0.00
37 22 -489.61157000 -0.03602711 10.24289000 -1.659843 0.00
38 22 -495.20450000 -0.00005698 9.36092000 -1.776213 0.01
39 22 -498.81629000 -0.04906786 11.83983000 -1.743546 0.00
40 22 -504.38666000 -0.00000717 10.58819000 -1.947523 0.00
41 22 -505.33705000 -0.04134000 15.68094000 -2.021842 0.79
42 22 -508.26789000 -0.00004580 14.45054000 -2.093537 6.40
43 22 -509.36281000 0.13950770 16.89850000 -2.172970 9.50
44 22 -511.92763000 0.17903751 16.74331000 -2.246674 13.38
45 22 -513.26626000 0.19588667 18.96989000 -2.350327 20.82
46 22 -515.04921000 0.19042710 19.24643000 -2.418133 24.97
47 22 -515.60947000 0.17502890 20.97626000 -2.516836 31.68
48 22 -517.00117000 0.17370726 20.57245000 -2.562491 33.67
49 22 -517.24079000 0.18475422 22.17412000 -2.625513 37.48
50 22 -518.51378000 -0.00005927 21.50196000 -2.740597 42.75
51 22 -518.25409000 0.09456867 23.15045000 -2.764449 44.05
52 22 -518.84845000 0.07467430 22.69885000 -2.790918 44.66
29 23 -453.70240000 0.17374833 NaN NaN NaN
30 23 -462.02599000 0.22970091 2.27556000 1.454644 0.00
31 23 -468.36717000 0.23641486 5.35814000 0.450606 0.00
32 23 -475.63570000 0.21700206 5.22503000 0.027369 0.01
33 23 -481.33598000 0.20874965 7.39728000 -0.314918 0.02
34 23 -487.88358000 0.18493169 7.23091000 -0.780335 0.02
35 23 -492.94745000 0.16616982 9.27158000 -1.020060 0.02
36 23 -499.07246000 0.12546739 8.75676000 -1.266613 0.03
37 23 -503.78342000 0.08610958 10.57658000 -1.440552 0.02
38 23 -509.87412000 -0.03090423 9.63118000 -1.627862 0.02
39 23 -514.19285000 -0.04913648 11.99920000 -1.698344 0.00
40 23 -520.23599000 -0.00757927 10.95903000 -1.901445 0.00
41 23 -521.93643000 -0.03998343 15.91362000 -1.946972 0.08
42 23 -525.47931000 -0.01984212 14.70679000 -2.004895 2.04
43 23 -527.88894000 0.18014931 16.45879000 -2.001194 1.65
44 23 -531.45415000 0.21378859 15.81080000 -2.072570 8.12
45 23 -533.51364000 0.22167865 18.06925000 -2.151293 12.58
46 23 -535.80373000 0.22845396 18.66354000 -2.238809 21.93
47 23 -536.79162000 0.26550687 20.67878000 -2.287250 26.52
48 23 -538.63291000 0.25383056 20.54403000 -2.383604 31.91
49 23 -539.23374000 0.22100954 22.22315000 -2.495276 36.67
50 23 -540.62254000 -0.01650992 22.05191000 -2.673341 39.26
51 23 -540.76530000 0.22479765 23.68427000 -2.635631 43.31
52 23 -541.67283000 0.19613104 23.12560000 -2.690107 43.84
53 23 -541.36761000 0.17729262 24.62666000 -2.744323 45.70
54 23 -541.99272000 0.18295484 24.03956000 -2.784335 46.01
55 23 -541.39745000 0.16571811 25.56775000 -2.818648 47.52
56 23 -541.73050000 0.16447440 24.91759000 -2.859885 47.48
29 24 -463.51955000 0.19221649 NaN NaN NaN
30 24 -472.94331000 0.25277231 NaN NaN NaN
31 24 -480.07873000 0.25463844 NaN NaN NaN
32 24 -487.95126000 0.24209444 2.30360000 0.088017 0.00
33 24 -494.33249000 0.23525548 4.51252000 0.628199 0.00
34 24 -501.43703000 0.21477632 4.50010000 -0.338540 0.00
35 24 -507.04722000 0.19022913 6.71308000 -0.568663 0.00
36 24 -513.57800000 0.14933752 6.23419000 -0.861312 0.00
37 24 -518.72330000 0.10239735 8.02475000 -1.082987 0.00
38 24 -525.41005000 -0.05858750 6.84501000 -1.275523 0.00
39 24 -530.41302000 -0.05265724 9.17820000 -1.279295 0.00
40 24 -537.06805000 -0.00001316 8.15876000 -1.498153 0.00
41 24 -539.40410000 -0.04505540 12.93939000 -1.586613 0.76
42 24 -543.56573000 -0.00015862 11.86457000 -1.650354 2.45
43 24 -546.48295000 0.17703304 13.74367000 -1.722010 1.71
44 24 -550.80089000 0.22005367 13.06730000 -1.786158 2.42
45 24 -553.68527000 0.22975196 15.07035000 -1.883994 7.55
46 24 -556.68840000 0.23793654 15.60637000 -1.969359 12.35
47 24 -558.39494000 0.28161145 17.64851000 -2.035051 16.00
48 24 -560.67489000 0.28360521 17.62855000 -2.136912 23.09
49 24 -561.89245000 0.30098732 19.19473000 -2.244599 31.25
50 24 -563.66757000 -0.00006430 19.07820000 -2.399251 42.02
51 24 -564.01643000 0.23487892 21.19770000 -2.429634 42.58
52 24 -565.21227000 0.22137653 20.48940000 -2.487623 43.16
53 24 -565.25028000 0.23540878 22.25616000 -2.558809 45.56
54 24 -566.18320000 0.21531583 21.77144000 -2.612555 46.09
55 24 -565.86609000 0.20058669 23.35081000 -2.653266 49.42
56 24 -566.49572000 0.21602434 22.75867000 -2.722273 47.66
31 25 -489.47286000 0.25373182 NaN NaN NaN
32 25 -498.06301000 0.24882824 1.30942000 1.710790 0.00
33 25 -505.15513000 0.24745859 3.75746000 3.358657 0.01
34 25 -512.97830000 0.23728369 3.75632000 0.615712 0.00
35 25 -519.03019000 0.21126438 6.51905000 0.356170 0.01
36 25 -525.96605000 0.18374770 6.09152000 0.077030 0.09
37 25 -531.47306000 0.13573299 8.15477000 -0.614028 0.02
38 25 -538.80922000 -0.08063022 6.97751000 -1.049029 0.01
39 25 -544.44481000 -0.05082639 9.28476000 -1.309135 0.00
40 25 -551.56149000 0.00905609 8.47014000 -1.431709 0.00
41 25 -554.64830000 -0.04622545 13.14523000 -1.550478 0.53
42 25 -559.44462000 0.02840333 11.98734000 -1.582110 0.98
43 25 -563.08619000 0.17043499 13.82224000 -1.577952 0.47
44 25 -567.97362000 0.20603365 12.72938000 -1.604547 1.19
45 25 -571.51277000 0.21775336 14.37709000 -1.690027 1.33
46 25 -575.26145000 0.22190094 14.66367000 -1.785449 8.14
47 25 -577.52144000 0.20428662 16.81820000 -1.855631 12.61
48 25 -580.30518000 0.22418254 17.20358000 -1.954688 23.81
49 25 -581.96377000 0.23058589 18.93889000 -2.055383 34.17
50 25 -584.43213000 0.01707275 18.68083000 -2.304848 37.80
51 25 -584.91967000 0.11082589 21.92386000 -2.273080 42.65
52 25 -586.72444000 0.22846842 20.71703000 -2.341397 42.75
53 25 -587.17264000 0.23727190 21.95640000 -2.424970 45.63
