# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PCX interaction (ver1.0).
# Generated: 2025-10-29 16:18:43
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
30 20 -427.49565000 0.00000316 4.84627000 -0.087683 0.00
31 20 -431.64670000 0.01600297 7.62341000 -0.488099 0.00
32 20 -437.08763000 -0.00000007 7.14594000 -0.924852 0.00
33 20 -440.32740000 -0.00000192 9.79104000 -1.021408 0.00
34 20 -444.83542000 -0.00000244 9.08280000 -1.611705 0.01
35 20 -447.28585000 -0.00000498 11.98126000 -1.834129 0.02
36 20 -451.42586000 -0.00000421 11.09449000 -1.980375 0.05
37 20 -453.51337000 0.00399986 13.74923000 -2.035315 0.08
38 20 -457.18546000 -0.00000420 12.84270000 -2.212764 0.16
39 20 -458.10825000 0.02191626 16.21830000 -2.263574 0.00
40 20 -461.86365000 -0.00000227 14.29191000 -2.380321 0.00
41 20 -460.81791000 -0.02881285 19.41535000 -2.490737 10.96
42 20 -462.82560000 -0.00000623 17.60397000 -2.540281 13.66
43 20 -461.89727000 -0.01839621 20.81024000 -2.638473 22.27
44 20 -462.91093000 -0.00001046 19.82129000 -2.688448 23.95
45 20 -461.86253000 -0.00359829 22.32384000 -2.773746 30.39
46 20 -462.51097000 -0.00001418 21.43382000 -2.820830 31.81
47 20 -461.23531000 0.01745538 23.88354000 -2.894447 36.72
48 20 -461.71775000 -0.00001605 22.81514000 -2.936518 37.76
29 21 -431.55992000 -0.07810799 6.38212000 2.053854 0.00
30 21 -438.48811000 -0.07130680 5.86711000 0.227378 0.00
31 21 -443.45157000 -0.07266420 8.45432000 -0.096733 0.00
32 21 -449.33644000 -0.06796195 8.21247000 0.454090 0.00
33 21 -453.13622000 -0.06556434 10.97348000 -0.380252 0.00
34 21 -458.48511000 -0.06885076 10.23551000 -1.321056 0.01
35 21 -461.73835000 -0.06770306 12.91820000 -1.385901 0.01
36 21 -466.48060000 -0.06378959 12.14904000 -1.737334 0.03
37 21 -469.24616000 -0.05989479 14.87878000 -1.787950 0.05
38 21 -473.54455000 -0.04609274 14.07562000 -1.998122 0.01
39 21 -475.37356000 -0.05398210 17.37343000 -2.067004 0.00
40 21 -479.45126000 -0.02204892 15.71873000 -2.189535 0.00
41 21 -479.64757000 -0.04932068 20.59439000 -2.250165 0.00
42 21 -481.92551000 -0.04387781 18.83249000 -2.297294 0.81
43 21 -481.95022000 -0.05057946 21.93528000 -2.403550 11.78
44 21 -483.40437000 -0.06023428 21.02167000 -2.471403 15.53
45 21 -483.16279000 0.12347082 23.36058000 -2.606211 29.38
46 21 -484.33685000 0.12049457 22.87636000 -2.654766 30.29
47 21 -483.75089000 0.12665526 25.13711000 -2.755120 38.12
48 21 -484.59901000 0.11957836 24.31930000 -2.793077 38.33
